index,count
7,8105
6,7336
8,7134
9,6383
5,6357
4,6110
10,5910
11,5400
3,4933
12,4889
13,4626
14,4028
15,3319
2,3291
16,2745
17,2474
18,2257
19,1885
20,1802
1,1614
21,1577
22,1250
23,1137
24,976
25,864
26,739
27,684
28,609
29,482
30,456
31,383
32,349
33,330
35,305
34,304
36,241
37,201
39,178
38,171
41,164
40,151
42,140
44,127
43,127
45,126
46,95
47,77
51,70
50,69
49,67
48,66
52,43
54,39
53,38
56,36
55,32
59,27
57,24
58,22
70,19
60,18
68,17
62,16
0,14
66,14
63,13
61,13
65,12
72,10
67,10
71,10
69,10
75,9
64,9
74,8
78,6
86,6
83,5
76,5
84,4
80,4
73,4
81,4
85,4
79,4
194,3
77,3
82,3
99,3
103,3
167,2
97,2
106,2
105,2
107,2
143,2
104,2
96,2
187,2
130,2
138,2
94,2
126,2
145,2
168,2
175,2
108,2
87,1
136,1
117,1
135,1
186,1
209,1
100,1
141,1
148,1
190,1
88,1
118,1
131,1
191,1
91,1
132,1
166,1
98,1
101,1
174,1
102,1
208,1
165,1
115,1
195,1
181,1
89,1
92,1
90,1
110,1
188,1
146,1
124,1
182,1
172,1
109,1
189,1
173,1
133,1
142,1
